Plot_Number,Tag_Num,Tree.ID,X.Person1,Y.Person1,Elevation.Person1,Total.Height.Person1,Height.To.Crown.Base.Person1,Max.Crown.Diameter.Person1,Min.Crown.Diameter.Person1,Crown.Rotation.Person1,R.Person1,G.Person1,B.Person1,DBH.Person1,Lean.Angle.From.Vertical.Person1,Lean.Azimuth.Person1,Status.Code.Person1,TopX.Person1,TopY.Person1,X.Person2,Y.Person2,Elevation.Person2,Total.Height.Person2,Height.To.Crown.Base.Person2,Max.Crown.Diameter.Person2,Min.Crown.Diameter.Person2,Crown.Rotation.Person2,R.Person2,G.Person2,B.Person2,DBH.Person2,Lean.Angle.From.Vertical.Person2,Lean.Azimuth.Person2,Status.Code.Person2,TopX.Person2,TopY.Person2,diffX,diffY,diffTopX,diffTopY,diff,diffTop,PlotID,Study,Year,Plot_Name,Species,DBH_cm,LiDAR_visible,Distance,Azimuth,Anomaly_Num,Anomaly1,Anomaly2,Anomaly3,Bear_damage_percent,Note,Xfield,Yfield,hanusHt,fvsHt,origdiffX.Person1,origdiffY.Person1,origdiff.Person1,origdiffX.Person2,origdiffY.Person2,origdiff.Person2,heightdiff,aveBaseX,aveBaseY,aveBaseElevation,aveHeight,aveTopX,aveTopY,topElevation,aveCrownDia,DataFile,FileTitle,Total.return.count,Return.1.count,Return.2.count,Return.3.count,Return.4.count,Return.5.count,Return.6.count,Return.7.count,Return.8.count,Return.9.count,Other.return.count,Elev.minimum,Elev.maximum,Elev.mean,Elev.mode,Elev.stddev,Elev.variance,Elev.CV,Elev.IQ,Elev.skewness,Elev.kurtosis,Elev.AAD,Elev.MAD.median,Elev.MAD.mode,Elev.L1,Elev.L2,Elev.L3,Elev.L4,Elev.L.CV,Elev.L.skewness,Elev.L.kurtosis,Elev.P01,Elev.P05,Elev.P10,Elev.P20,Elev.P25,Elev.P30,Elev.P40,Elev.P50,Elev.P60,Elev.P70,Elev.P75,Elev.P80,Elev.P90,Elev.P95,Elev.P99,Canopy.relief.ratio,Elev.SQRT.mean.SQ,Elev.CURT.mean.CUBE,Int.minimum,Int.maximum,Int.mean,Int.mode,Int.stddev,Int.variance,Int.CV,Int.IQ,Int.skewness,Int.kurtosis,Int.AAD,Int.L1,Int.L2,Int.L3,Int.L4,Int.L.CV,Int.L.skewness,Int.L.kurtosis,Int.P01,Int.P05,Int.P10,Int.P20,Int.P25,Int.P30,Int.P40,Int.P50,Int.P60,Int.P70,Int.P75,Int.P80,Int.P90,Int.P95,Int.P99,Profile.area
7,1,07_1_PSME,412801.4325,5280085.535,179.459395,28.095728,16.857436,4.400609,4.400609,0,244,120,50,0.404,2.114327,158.285838,0,412801.816,5280084.572,412801.3446,5280085.539,-32767,28.097194,16.858316,4.400609,4.400609,0,244,120,50,0.404,2.067643,157.862733,0,412801.7266,5280084.6,0.087941,-0.003505,0.08944086,-0.027504686,0.08801082,0.093574437,7,T3,2021,07_B-Alt-2_EVDP_1,PSME,40.4,Y,13.5,198,0,0,NA,NA,NA,Compasses were acting very strangely here,412802.1483,5280085.131,31.60177269,27.5038041,-0.715770576,0.40426297,0.822043835,-0.803711576,0.40776797,0.901236381,0.001466,412801.3885,5280085.537,179.459395,28.096461,412801.7713,5280084.586,207.555856,4.400609,H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_1.las,Plot_7_Tree_1,1415,1328,82,5,0,0,0,0,0,0,0,0,3,0.860487,0.52381,0.703674,0.495157,0.817762,0.906,1.091191,3.395859,0.563997,0.344,0.30219,0.860487,0.377134,0.100326,0.046588,0.43828,0.266022,0.123531,0.01,0.0527,0.12,0.3,0.3735,0.4322,0.5366,0.633,0.743,1.0094,1.2795,1.5182,1.9186,2.3712,2.84502,0.286829,1.111415,1.318933,140,255,191.547703,176.507937,18.870221,356.08524,0.098514,32,0.414357,2.284567,16.24698,191.547703,10.618966,1.218909,0.381713,0.055438,0.114786,0.035946,159,166,172,178,178,178,185,185,191,204,210,210,217,223,230,29.214113
7,12,07_12_PSME,412810.0935,5280110.135,190.357879,31.630849,18.978509,4.113166,4.113166,0,244,120,50,0.364,1.266309,279.46906,0,412809.404,5280110.25,412810.0377,5280110.375,-32767,31.690465,19.014279,4.113166,4.113166,0,244,120,50,0.364,1.319166,262.345827,0,412809.3146,5280110.277,0.055841,-0.239504,0.089410471,-0.027329937,0.245927598,0.093494159,7,T3,2021,07_B-Alt-2_EVDP_1,PSME,36.4,Y,13,23,0,0,NA,NA,NA,NA,412811.3995,5280109.937,29.24919727,25.70728678,-1.30600467,0.1984369,1.320994096,-1.36184567,0.4379409,1.430529923,0.059616,412810.0656,5280110.255,190.357879,31.660657,412809.3593,5280110.264,222.018536,4.113166,H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_12.las,Plot_7_Tree_12,2980,2885,95,0,0,0,0,0,0,0,0,0.003,3,1.457869,1.715571,0.683241,0.466819,0.468658,1.076,-0.277568,2.253172,0.565982,0.441,0.437,1.457869,0.388868,-0.030394,0.028353,0.266738,-0.078159,0.072911,0.08695,0.22395,0.4569,0.715,0.87,1.175,1.3586,1.5695,1.7344,1.8793,1.946,2.038,2.2811,2.49815,2.77305,0.485442,1.609983,1.715773,147,255,191.599329,184.714286,17.292632,299.035112,0.090254,26,0.818742,3.036604,13.870638,191.599329,9.411082,1.939792,1.158494,0.049119,0.206118,0.123099,166,172,172,178,178,178,185,185,191,198,204,210,217,230,236,51.527788
7,15,07_15_TSHE,412814.3745,5280094.131,183.39595,31.478164,18.886898,4.71788,4.71788,0,244,120,50,0.429,0.805643,114.422528,0,412814.7775,5280093.948,412814.3066,5280094.172,-32767,31.477376,18.886426,4.71788,4.71788,0,244,120,50,0.429,1.324988,124.617986,0,412814.9056,5280093.758,0.067941,-0.040504,-0.128058937,0.189995975,0.079098379,0.229123464,7,T3,2021,07_B-Alt-2_EVDP_1,TSHE,42.9,Y,9.4,115,0,0,NA,NA,NA,NA,412814.8393,5280093.997,35.63673519,29.48674828,-0.464793198,0.13361166,0.483616369,-0.532734198,0.174115661,0.560465868,0.000788,412814.3405,5280094.151,183.39595,31.47777,412814.8415,5280093.853,214.87372,4.71788,H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_15.las,Plot_7_Tree_15,1759,1698,61,0,0,0,0,0,0,0,0,0.001,3,1.004217,0.619841,0.721643,0.520769,0.718613,0.9205,0.920724,3.044308,0.580311,0.401,0.366159,1.004217,0.394648,0.087009,0.046413,0.39299,0.220472,0.117607,0.016,0.099,0.2088,0.4226,0.503,0.5708,0.6752,0.785,0.948,1.2448,1.4235,1.5896,2.1142,2.6244,2.78968,0.334517,1.236497,1.430379,153,249,194.81353,185,19.352382,374.514697,0.099338,32,0.420259,2.486594,16.129125,194.81353,10.934409,1.084401,0.830369,0.056128,0.099173,0.075941,159,166,172,178,178,185,185,191,198,204,210,210,223,230,242,34.972804
7,29,07_29_TSHE,412806.6415,5280093.28,181.484111,35.107615,21.064569,5.712666,5.712666,0,244,120,50,0.574,1.278075,197.578816,0,412806.405,5280092.533,412806.5311,5280093.41,-32767,35.124787,21.074872,5.712666,5.712666,0,244,120,50,0.574,2.157072,176.786831,0,412806.6052,5280092.09,0.110441,-0.130004,-0.200162048,0.4434837,0.170582105,0.486562059,7,T3,2021,07_B-Alt-2_EVDP_1,TSHE,57.4,Y,4.9,170,0,0,NA,NA,NA,NA,412807.1709,5280093.144,42.58397356,35.70415963,-0.529376071,0.13505799,0.546332944,-0.639817071,0.26506199,0.69254873,0.017172,412806.5863,5280093.345,181.484111,35.116201,412806.5051,5280092.311,216.600312,5.712666,H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_29.las,Plot_7_Tree_29,2170,2141,29,0,0,0,0,0,0,0,0,0,3,0.94802,0.666667,0.705914,0.498314,0.744619,0.78,1.061323,3.153422,0.558181,0.3125,0.288167,0.94802,0.376788,0.100461,0.051621,0.397447,0.266626,0.137002,0.01969,0.1229,0.242,0.395,0.468,0.5287,0.637,0.7275,0.829,0.9976,1.248,1.5782,2.1582,2.36765,2.86186,0.316007,1.181874,1.382394,153,255,199.377419,190.238095,18.368869,337.41535,0.092131,25,0.280518,2.555159,14.807617,199.377419,10.369342,0.703827,1.08154,0.052009,0.067876,0.104302,166,172,178,185,185,191,191,198,204,210,210,217,230,230,242,32.101088
7,30,07_30_PSME,412799.0855,5280105.16,186.547295,38.608647,23.165188,6.056868,6.056868,0,244,120,50,0.687,0.707322,224.404961,0,412798.752,5280104.819,412798.8796,5280105.145,-32767,38.632763,23.179658,6.056868,6.056868,0,244,120,50,0.687,0.54613,216.107451,0,412798.6626,5280104.847,0.205941,0.014995,0.089441359,-0.028004573,0.206486187,0.093723065,7,T3,2021,07_B-Alt-2_EVDP_1,PSME,68.7,Y,9.4,315,0,0,NA,NA,NA,NA,412799.6732,5280104.617,45.4417273,37.855428,-0.587696257,0.54269626,0.799941323,-0.793637257,0.52770126,0.953062807,0.024116,412798.9825,5280105.152,186.547295,38.620705,412798.7073,5280104.833,225.168,6.056868,H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_30.las,Plot_7_Tree_30,1553,1506,47,0,0,0,0,0,0,0,0,0,3,0.980337,0.190476,0.721703,0.520855,0.736178,1.268,0.571135,2.328463,0.60274,0.586,0.680524,0.980337,0.407309,0.061395,0.012592,0.415478,0.150734,0.030914,0.01652,0.0862,0.143,0.252,0.314,0.411,0.6746,0.871,1.044,1.2802,1.582,1.7682,1.9862,2.3122,2.69748,0.326779,1.217202,1.390337,140,242,185.56085,177.238095,18.670441,348.585374,0.100616,32,0.334132,2.195335,15.844899,185.56085,10.58582,0.932988,0.425627,0.057048,0.088136,0.040207,153,159,166,166,172,172,178,185,185,198,204,204,210,217,226.359863,35.299502
7,31,07_31_PSME,412808.9765,5280106.773,187.744919,33.401859,20.041116,4.251877,4.251877,0,244,120,50,0.383,2.020704,236.444857,0,412807.995,5280106.122,412808.8956,5280106.954,-32767,33.300197,19.980119,4.251877,4.251877,0,244,120,50,0.383,2.194882,230.919216,0,412807.9056,5280106.15,0.080941,-0.180505,0.089440847,-0.027505107,0.197821891,0.093574548,7,T3,2021,07_B-Alt-2_EVDP_1,PSME,38.3,Y,9,23,0,0,NA,NA,NA,NA,412809.8366,5280106.255,30.38228536,26.57422929,-0.860080156,0.51845632,1.004258349,-0.941021156,0.69896132,1.172206357,0.101662,412808.936,5280106.863,187.744919,33.351028,412807.9503,5280106.136,221.095947,4.251877,H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_31.las,Plot_7_Tree_31,3190,3086,104,0,0,0,0,0,0,0,0,0.003,3,1.173392,1.572857,0.590082,0.348197,0.502886,1.018,0.131292,2.237893,0.509522,0.5015,0.493,1.173392,0.337177,0.0037,0.007148,0.287353,0.010973,0.021199,0.08789,0.3129,0.4139,0.5628,0.63,0.742,0.9606,1.179,1.4354,1.593,1.648,1.7132,1.879,2.0361,2.65122,0.390521,1.313369,1.420759,147,255,197.143574,189.857143,17.820419,317.567339,0.090393,25,0.385144,2.528058,14.702617,197.143574,9.985487,1.05635,0.916674,0.050651,0.105789,0.091801,159,172,178,185,185,185,191,191,198,204,210,217,223,230,236,43.213312
7,4,07_4_PSME,412794.3285,5280094.837,179.232925,37.515505,22.509303,5.807024,5.807024,0,244,120,50,0.638,0.775291,226.875916,0,412793.958,5280094.49,412794.4321,5280095.044,-32767,37.36867,22.421202,5.807024,5.807024,0,244,120,50,0.638,1.181471,226.998491,0,412793.8686,5280094.518,-0.103559,-0.206505,0.089441285,-0.028004735,0.231016842,0.093723042,7,T3,2021,07_B-Alt-2_EVDP_1,PSME,63.8,Y,11.3,254,0,0,NA,NA,NA,NA,412795.4577,5280094.855,43.32794895,36.29390264,-1.129242836,-0.01829788,1.129391073,-1.025683836,0.18820712,1.042808348,0.146835,412794.3803,5280094.94,179.232925,37.4420875,412793.9133,5280094.504,216.6750125,5.807024,H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_4.las,Plot_7_Tree_4,1789,1753,36,0,0,0,0,0,0,0,0,0,3,0.776999,0.047619,0.609989,0.372087,0.785057,0.961,0.736814,2.644086,0.497589,0.435,0.634381,0.776999,0.3396,0.06354,0.017351,0.437066,0.187104,0.051092,0.01076,0.0484,0.0898,0.1976,0.255,0.306,0.499,0.682,0.7988,0.9452,1.216,1.4394,1.7212,1.841,2.34556,0.259,0.987728,1.145499,147,242,189.921744,177.15873,18.36784,337.377541,0.096713,26,0.446279,2.46053,15.306822,189.921744,10.343747,1.20517,0.739902,0.054463,0.116512,0.071531,159,166,172,172,178,178,185,185,191,198,204,210,217,223,230,32.050486
7,8,07_8_PSME,412792.018,5280105.077,186.62884,35.147769,21.088661,5.29534,5.29534,0,244,120,50,0.545,0.697948,191.861089,0,412791.93,5280104.658,412791.8625,5280105.205,-32767,35.026725,21.016035,5.29534,5.29534,0,244,120,50,0.545,0.850381,182.419747,0,412791.8405,5280104.685,0.155541,-0.127504,0.089488825,-0.02712206,0.201122532,0.093508587,7,T3,2021,07_B-Alt-2_EVDP_1,PSME,54.5,Y,15.4,300,0,0,NA,NA,NA,NA,412792.9832,5280105.67,39.02520645,33.09587188,-0.965208782,-0.593,1.132818164,-1.120749782,-0.465496,1.213575955,0.121044,412791.9402,5280105.141,186.62884,35.087247,412791.8853,5280104.672,221.716087,5.29534,H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_8.las,Plot_7_Tree_8,2262,2172,90,0,0,0,0,0,0,0,0,0.002,3,0.958011,0.477873,0.607504,0.369061,0.63413,0.9135,0.673876,2.660386,0.515854,0.407,0.3595,0.958011,0.339846,0.056305,0.021268,0.354741,0.165678,0.062581,0.031,0.16515,0.2941,0.428,0.48425,0.529,0.6254,0.7675,1.0826,1.3,1.39775,1.481,1.8098,2.17685,2.47878,0.318883,1.134321,1.278644,147,255,191.989832,184.714286,16.549321,273.880038,0.086199,26,0.550491,2.856737,13.579702,191.989832,9.236489,1.161813,0.816143,0.048109,0.125785,0.088361,163.270004,172,172,178,178,185,185,191,191,204,204,204,217,223,232.339355,37.591181
8,11,08_11_PSME,412578.2985,5280983.417,274.862494,38.30606,22.983636,4.69798,4.69798,0,244,120,50,0.448,0.663506,320.442497,0,412578.016,5280983.759,412578.3268,5280983.485,-32767,38.302627,22.981577,4.69798,4.69798,0,244,120,50,0.448,0.62788,313.986448,0,412578.0248,5280983.776,-0.028281,-0.067551999,-0.008781038,-0.017051914,0.073233104,0.019180052,8,T3,2021,08_B_Alt-2_EVDP,PSME,44.8,Y,17.3,143,0,0,NA,NA,NA,NA,412578.5728,5280983.292,34.0531853,29.36237342,-0.274349901,0.124544321,0.301295795,-0.246068901,0.19209632,0.312171267,0.003433,412578.3126,5280983.451,274.862494,38.3043435,412578.0204,5280983.768,313.1668375,4.69798,H:\T3_DroneLidar\Ba\Plots8_9_36_46\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_8_Tree_11.las,Plot_8_Tree_11,3460,3293,167,0,0,0,0,0,0,0,0,0,3,0.989716,0.047619,0.751235,0.564354,0.759041,1.31625,0.52359,2.104471,0.653591,0.5685,0.762881,0.989716,0.424678,0.065051,0.001755,0.42909,0.153178,0.004133,0.01,0.06095,0.1339,0.2658,0.331,0.3997,0.552,0.8105,1.1468,1.451,1.64725,1.754,2.129601,2.3131,2.73741,0.329905,1.242469,1.420539,134,242,182.745087,176.857143,15.792665,249.408259,0.086419,19,0.710834,3.665309,12.174543,182.745087,8.572421,1.225233,1.471798,0.046909,0.142927,0.17169,153,159,166,172,172,172,178,178,185,185,191,191,204,217,223,35.127994
8,16,08_16_TSHE,412558.209,5280989.143,266.67567,36.170796,21.702478,6.241178,6.241178,0,244,120,50,0.664,0.899329,299.31927,0,412557.714,5280989.421,412558.2647,5280989.353,-32767,36.163962,21.698377,6.241178,6.241178,0,244,120,50,0.664,0.869151,278.95395,0,412557.7228,5280989.438,-0.055681,-0.209552,-0.008796122,-0.016931752,0.216823464,0.019080251,8,T3,2021,08_B_Alt-2_EVDP,TSHE,66.4,Y,12.9,225,0,0,NA,NA,NA,NA,412559.0398,5280987.987,46.25140813,39.00736208,-0.830772523,1.15582748,1.423418473,-0.775091523,1.365379481,1.570040762,0.006834,412558.2368,5280989.248,266.67567,36.167379,412557.7184,5280989.429,302.843049,6.241178,H:\T3_DroneLidar\Ba\Plots8_9_36_46\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_8_Tree_16.las,Plot_8_Tree_16,4742,4353,385,4,0,0,0,0,0,0,0,0,3,0.992037,0.47619,0.643905,0.414613,0.649073,0.90975,0.624658,2.820837,0.526298,0.447,0.451809,0.992037,0.362292,0.04852,0.029671,0.3652,0.133925,0.081898,0.02,0.10405,0.21,0.406,0.483,0.5603,0.718,0.904,1.0826,1.284,1.39275,1.549,1.902,2.216851,2.813437,0.330679,1.182651,1.33452,147,255,191.618726,189.857143,14.623364,213.842788,0.076315,13,0.357588,4.360266,10.680618,191.618726,7.880275,0.228585,1.606734,0.041125,0.029007,0.203893,159,166,172,178,185,185,191,191,191,198,198,198,210,217,236,34.240015
