"Tree ID","X","Y","Elevation","Total Height","Height To Crown Base","Max Crown Diameter","Min Crown Diameter","Crown Rotation",R,G,B,"DBH","Lean Angle","Lean Azimuth","Status Code"
08_1_PSME,412551.751839,5280995.384130,262.708641,31.687274,19.012364,5.069964,5.069964,0.000000,71,183,73,0.507000,0.000000,0.000000,0
08_2_PSME,412553.448462,5281000.505611,262.600943,26.075422,15.645253,4.172067,4.172067,0.000000,71,183,73,0.372000,0.000000,0.000000,0
08_3_PSME,412557.136825,5281003.997800,263.442412,33.670156,20.202094,5.387225,5.387225,0.000000,71,183,73,0.561000,0.000000,0.000000,0
08_4_PSME,412558.155256,5281009.465471,263.099132,30.527404,18.316443,4.884385,4.884385,0.000000,71,183,73,0.477000,0.000000,0.000000,0
08_7_PSME,412576.978229,5281009.244105,270.202628,27.634260,16.580556,4.421482,4.421482,0.000000,71,183,73,0.407000,0.000000,0.000000,0
08_11_PSME,412578.572850,5280983.292456,275.060339,29.362373,17.617424,4.697980,4.697980,0.000000,71,183,73,0.448000,0.000000,0.000000,0
08_21_PSME,412566.199226,5281008.237178,266.980892,30.170624,18.102374,4.827300,4.827300,0.000000,71,183,73,0.468000,0.000000,0.000000,0
08_22_PSME,412568.454606,5281005.503733,267.971954,24.284197,14.570518,3.885471,3.885471,0.000000,71,183,73,0.334000,0.000000,0.000000,0
08_23_PSME,412571.220784,5281010.360283,268.175965,31.074186,18.644511,4.971870,4.971870,0.000000,71,183,73,0.491000,0.000000,0.000000,0
08_26_PSME,412578.759836,5280997.293846,273.324090,36.424336,21.854601,5.827894,5.827894,0.000000,71,183,73,0.642000,0.000000,0.000000,0
08_28_PSME,412579.875324,5280988.906707,274.569659,37.886500,22.731900,6.061840,6.061840,0.000000,71,183,73,0.688000,0.000000,0.000000,0
08_30_PSME,412563.211703,5280992.159103,267.510141,36.908667,22.145200,5.905387,5.905387,0.000000,71,183,73,0.657000,0.000000,0.000000,0
08_34_PSME,412573.344316,5281003.071056,270.393471,35.499637,21.299782,5.679942,5.679942,0.000000,71,183,73,0.614000,0.000000,0.000000,0
08_36_PSME,412570.235807,5280992.449768,270.583355,30.329712,18.197827,4.852754,4.852754,0.000000,71,183,73,0.472000,0.000000,0.000000,0
08_8_TSHE,412582.263967,5281000.887608,273.983525,31.241989,18.745194,4.998718,4.998718,0.000000,32,144,158,0.467000,0.000000,0.000000,0
08_14_TSHE,412566.324365,5280984.037311,271.470032,34.111538,20.466923,5.457846,5.457846,0.000000,32,144,158,0.534000,0.000000,0.000000,0
08_16_TSHE,412559.039773,5280987.987173,267.366072,39.007362,23.404417,6.241178,6.241178,0.000000,32,144,158,0.664000,0.000000,0.000000,0
08_19_TSHE,412559.586993,5280999.088419,264.459442,27.977205,16.786323,4.476353,4.476353,0.000000,32,144,158,0.398000,0.000000,0.000000,0
08_20_TSHE,412562.406732,5281002.666117,265.222314,29.629007,17.777404,4.740641,4.740641,0.000000,32,144,158,0.432000,0.000000,0.000000,0
08_24_TSHE,412575.623956,5281007.011930,269.916764,24.161388,14.496833,3.865822,3.865822,0.000000,32,144,158,0.326000,0.000000,0.000000,0
08_25_TSHE,412579.209931,5281002.738332,271.968446,24.830332,14.898199,3.972853,3.972853,0.000000,32,144,158,0.338000,0.000000,0.000000,0
08_29_TSHE,412564.570238,5280987.242077,269.507155,22.305634,13.383380,3.568901,3.568901,0.000000,32,144,158,0.294000,0.000000,0.000000,0
08_38_TSHE,412568.161450,5280997.108850,268.916456,36.883284,22.129971,5.901325,5.901325,0.000000,32,144,158,0.605000,0.000000,0.000000,0
08_5_PSME,412563.031768,5281012.896388,264.469952,29.321387,17.592832,4.691422,4.691422,0.000000,233,37,127,0.447000,0.000000,0.000000,1
08_6_PSME,412568.733802,5281013.498860,266.324663,25.381351,15.228811,4.061016,4.061016,0.000000,233,37,127,0.357000,0.000000,0.000000,1
08_9_TSHE,412584.140714,5280991.606748,276.250607,32.859843,19.715906,5.257575,5.257575,0.000000,233,37,127,0.504000,0.000000,0.000000,1
08_10_TSHE,412583.384470,5280991.568124,275.785568,28.472217,17.083330,4.555555,4.555555,0.000000,233,37,127,0.408000,0.000000,0.000000,1
08_12_TSHE,412575.062682,5280984.129520,273.639391,32.944906,19.766944,5.271185,5.271185,0.000000,233,37,127,0.506000,0.000000,0.000000,1
08_13_PSME,412571.579353,5280985.189205,272.352236,34.023723,20.414234,5.443796,5.443796,0.000000,233,37,127,0.571000,0.000000,0.000000,1
08_15_TSHE,412561.516854,5280986.877069,268.430874,3.337881,2.002728,0.534061,0.534061,0.000000,233,37,127,0.036000,0.000000,0.000000,1
08_17_TSHE,412557.102897,5280989.365568,266.263359,3.407057,2.044234,0.545129,0.545129,0.000000,233,37,127,0.037000,0.000000,0.000000,1
08_18_TSHE,412556.756566,5280991.297772,265.660950,5.551514,3.330908,0.888242,0.888242,0.000000,233,37,127,0.068000,0.000000,0.000000,1
08_27_TSHE,412582.084757,5280995.645452,274.714790,5.551514,3.330908,0.888242,0.888242,0.000000,233,37,127,0.068000,0.000000,0.000000,1
08_31_PSME,412562.866546,5280995.285668,266.935035,30.329712,18.197827,4.852754,4.852754,0.000000,233,37,127,0.472000,0.000000,0.000000,1
08_32_PSME,412562.781638,5280995.965336,266.726753,23.194687,13.916812,3.711150,3.711150,0.000000,233,37,127,0.312000,0.000000,0.000000,1
08_33_PSME,412565.602820,5281000.052217,267.782386,31.458809,18.875285,5.033409,5.033409,0.000000,233,37,127,0.501000,0.000000,0.000000,1
08_35_PSME,412573.184397,5280994.208850,271.499760,30.170624,18.102374,4.827300,4.827300,0.000000,233,37,127,0.468000,0.000000,0.000000,1
08_37_TSHE,412570.258572,5280996.998944,269.971115,3.614585,2.168751,0.578334,0.578334,0.000000,233,37,127,0.040000,0.000000,0.000000,1
