TreeID,X,Y,Elevation,Height_m,CBH_m,MinCrownDia_m,MaxCrownDia_m,rotation,R,G,B,DBH_m,LeanFromVertical,LeanAzimuth,StatusCode
24_1_PSME,418971.51314305,5276723.28954158,0,27.2411651820171,16.3446991092103,4.35858642912274,4.35858642912274,0,71,183,73,0.398,0,0,0
24_9_PSME,418992.919342275,5276714.68659015,0,29.0742876314464,17.4445725788678,4.65188602103142,4.65188602103142,0,71,183,73,0.441,0,0,0
24_24_PSME,418972.726121341,5276702.8812422,0,30.0106949923932,18.0064169954359,4.80171119878291,4.80171119878291,0,71,183,73,0.464,0,0,0
24_31_PSME,418967.656483877,5276713.58401733,0,30.6454036942781,18.3872422165669,4.9032645910845,4.9032645910845,0,71,183,73,0.48,0,0,0
24_39_PSME,418978.24054698,5276718.85489496,0,26.61916125741,15.971496754446,4.2590658011856,4.2590658011856,0,71,183,73,0.384,0,0,0
24_43_PSME,418986.709831848,5276708.99455189,0,28.8251410431465,17.2950846258879,4.61202256690344,4.61202256690344,0,71,183,73,0.435,0,0,0
24_3_TSHE,418977.566986694,5276726.150448,0,28.9594686640466,17.375681198428,4.63351498624746,4.63351498624746,0,32,144,158,0.418,0,0,0
24_4_TSHE,418981.13547455,5276726.30485689,0,25.9147121017948,15.5488272610769,4.14635393628717,4.14635393628717,0,32,144,158,0.358,0,0,0
24_6_TSHE,418983.606460633,5276722.91667663,0,28.3245389140736,16.9947233484442,4.53192622625178,4.53192622625178,0,32,144,158,0.405,0,0,0
24_8_TSHE,418990.964136132,5276721.58195929,0,22.0659222607903,13.2395533564742,3.53054756172645,3.53054756172645,0,32,144,158,0.29,0,0,0
24_10_TSHE,418989.829352803,5276713.0644884,0,28.3245389140736,16.9947233484442,4.53192622625178,4.53192622625178,0,32,144,158,0.405,0,0,0
24_11_TSHE,418993.372548351,5276711.51635156,0,19.5010380619808,11.7006228371885,3.12016608991693,3.12016608991693,0,32,144,158,0.249,0,0,0
24_13_TSHE,418993.817986029,5276707.11261159,0,30.2843582273546,18.1706149364128,4.84549731637674,4.84549731637674,0,32,144,158,0.446,0,0,0
24_17_TSHE,418986.146271622,5276700.36235854,0,28.7654849396515,17.2592909637909,4.60247759034424,4.60247759034424,0,32,144,158,0.414,0,0,0
24_18_TSHE,418984.360994282,5276697.94637137,0,30.9260770257757,18.5556462154654,4.94817232412411,4.94817232412411,0,32,144,158,0.46,0,0,0
24_19_TSHE,418980.674892459,5276696.16661704,0,27.6259526652756,16.5755715991654,4.4201524264441,4.4201524264441,0,32,144,158,0.391,0,0,0
24_21_TSHE,418977.73271385,5276695.76115441,0,31.908200675968,19.1449204055808,5.10531210815488,5.10531210815488,0,32,144,158,0.482,0,0,0
24_22_TSHE,418976.277568928,5276700.38117233,0,30.0518972939815,18.0311383763889,4.80830356703704,4.80830356703704,0,32,144,158,0.441,0,0,0
24_26_TSHE,418968.338617731,5276705.28591385,0,24.7198175561495,14.8318905336897,3.95517080898392,3.95517080898392,0,32,144,158,0.336,0,0,0
24_27_TSHE,418970.907545992,5276708.40722818,0,31.016669224706,18.6100015348236,4.96266707595296,4.96266707595296,0,32,144,158,0.462,0,0,0
24_29_TSHE,418965.461776164,5276709.9566814,0,32.9024043463081,19.7414426077849,5.2643846954093,5.2643846954093,0,32,144,158,0.505,0,0,0
24_36_TSHE,418983.537674308,5276727.98760119,0,26.8079308895223,16.0847585337134,4.28926894232357,4.28926894232357,0,32,144,158,0.375,0,0,0
24_41_TSHE,418986.433373839,5276716.08386155,0,27.8271525082423,16.6962915049454,4.45234440131877,4.45234440131877,0,32,144,158,0.395,0,0,0
24_45_TSHE,418983.233034557,5276704.20116026,0,23.3627257147147,14.0176354288288,3.73803611435435,3.73803611435435,0,32,144,158,0.312,0,0,0
24_46_TSHE,418980.820430528,5276706.87691861,0,28.4722173423941,17.0833304054365,4.55555477478306,4.55555477478306,0,32,144,158,0.408,0,0,0
24_47_TSHE,418974.825757708,5276709.4211876,0,30.3306410025887,18.1983846015532,4.85290256041419,4.85290256041419,0,32,144,158,0.447,0,0,0
24_50_TSHE,418978.03115,5276712.85855,0,30.7896867655976,18.4738120593586,4.92634988249562,4.92634988249562,0,32,144,158,0.457,0,0,0
24_2_PSME,418974.282481961,5276725.93170907,0,22.2717709834053,13.3630625900432,3.56348335734485,3.56348335734485,0,233,37,127,0.294,0,0,1
24_5_ABAM,418979.658068437,5276723.13050874,0,20.7649493090392,12.4589695854235,3.32239188944627,3.32239188944627,0,233,37,127,0.299,0,0,1
24_7_TSHE,418987.547969675,5276722.71350526,0,30.9714064655029,18.5828438793017,4.95542503448046,4.95542503448046,0,233,37,127,0.461,0,0,1
24_12_PSME,418989.805352007,5276707.11588798,0,26.9317923752319,16.1590754251391,4.3090867800371,4.3090867800371,0,233,37,127,0.391,0,0,1
24_14_TSHE,418992.791751996,5276703.27290298,0,11.6441823024904,6.98650938149424,1.86306916839846,1.86306916839846,0,233,37,127,0.141,0,0,1
24_15_TSHE,418992.707884939,5276703.32736689,0,3.5454089277592,2.12724535665552,0.567265428441472,0.567265428441472,0,233,37,127,0.039,0,0,1
24_16_PSME,418989.144337249,5276703.85926841,0,29.19809083129,17.518854498774,4.6716945330064,4.6716945330064,0,233,37,127,0.444,0,0,1
24_20_PSME,418981.807381775,5276699.68926477,0,27.5473529005117,16.528411740307,4.40757646408187,4.40757646408187,0,233,37,127,0.405,0,0,1
24_23_PSME,418978.658958264,5276703.88047355,0,23.3456843124141,14.0074105874485,3.73530948998626,3.73530948998626,0,233,37,127,0.315,0,0,1
24_25_PSME,418969.807100571,5276700.19462442,0,31.3439313989443,18.8063588393666,5.01502902383109,5.01502902383109,0,233,37,127,0.498,0,0,1
24_28_TSHE,418968.287449352,5276710.60903946,0,29.8646601383372,17.9187960830023,4.77834562213395,4.77834562213395,0,233,37,127,0.437,0,0,1
24_30_PSME,418964.449788328,5276712.14678099,0,23.9910802586597,14.3946481551958,3.83857284138555,3.83857284138555,0,233,37,127,0.328,0,0,1
24_32_PSME,418965.886079599,5276716.57167065,0,20.9932854655067,12.595971279304,3.35892567448107,3.35892567448107,0,233,37,127,0.27,0,0,1
24_33_TSHE,418963.639104237,5276720.51093647,0,24.3859413351584,14.631564801095,3.90175061362534,3.90175061362534,0,233,37,127,0.33,0,0,1
24_34_TSHE,418967.1707578,5276720.18397704,0,27.8271525082423,16.6962915049454,4.45234440131877,4.45234440131877,0,233,37,127,0.395,0,0,1
24_35_ABAM,418980.151676575,5276730.12885304,0,29.3126486665012,17.5875891999007,4.69002378664019,4.69002378664019,0,233,37,127,0.445,0,0,1
24_37_PSME,418972.389042351,5276719.34905239,0,29.3623734207101,17.6174240524261,4.69797974731362,4.69797974731362,0,233,37,127,0.448,0,0,1
24_38_TSHE,418976.572505308,5276721.13093513,0,33.8652774864271,20.3191664918563,5.41844439782834,5.41844439782834,0,233,37,127,0.528,0,0,1
24_40_PSME,418982.338031897,5276717.31845676,0,29.5257647848127,17.7154588708876,4.72412236557003,4.72412236557003,0,233,37,127,0.452,0,0,1
24_42_PSME,418983.562204708,5276711.982517,0,28.4475003097286,17.0685001858372,4.55160004955658,4.55160004955658,0,233,37,127,0.426,0,0,1
